name;h;s;A;Jy;Wy;iy;P;parea;Perimeter
57*3;57;3;5.09;18.61;6.53;1.91;4;0.1791;179.0707813
57*3.5;57;3.5;5.88;21.14;7.42;1.9;4.62;0.1791;179.0707813
57*4;57;4;6.66;23.52;8.25;1.88;5.18;0.1791;179.0707813
76*3;76;3;6.88;45.91;12.08;2.58;5.4;0.2388;238.7610417
76*3.5;76;3.5;7.97;52.5;13.82;2.57;6.26;0.2388;238.7610417
76*4;76;4;9.05;58.81;15.48;2.55;7.1;0.2388;238.7610417
89*3;89;3;8.11;75.02;16.86;3.04;6.36;0.2796;279.6017462
89*3.5;89;3.5;9.4;86.05;19.34;3.03;7.38;0.2796;279.6017462
89*4;89;4;10.68;96.68;21.73;3.01;8.38;0.2796;279.6017462
102*3;102;3;9.33;114.42;22.43;3.5;7.32;0.3204;320.4424507
102*3.5;102;3.5;10.83;131.52;25.79;3.49;8.5;0.3204;320.4424507
102*4;102;4;12.32;148.09;29.04;3.47;9.67;0.3204;320.4424507
102*5;102;5;15.24;179.68;35.23;3.43;11.96;0.3204;320.4424507
108*3;108;3;9.9;136.49;25.28;3.71;7.77;0.3393;339.2920066
108*3.5;108;3.5;11.49;157.02;28.08;3.7;9.02;0.3393;339.2920066
108*4;108;4;13.07;176.95;32.77;3.68;10.26;0.3393;339.2920066
133*3;133;3;12.25;258.97;38.94;4.6;9.62;0.4178;417.8318229
133*3.5;133;3.5;14.24;298.71;44.92;4.58;11.18;0.4178;417.8318229
133*4;133;4;16.21;337.53;50.76;4.57;12.73;0.4178;417.8318229
133*4.5;133;4.5;18.17;375.42;56.45;4.55;14.26;0.4178;417.8318229
159*3;159;3;14.7;447.42;56.28;5.52;11.54;0.4995;499.5132319
159*3.5;159;3.5;17.1;517.06;65.04;5.5;13.42;0.4995;499.5132319
159*4;159;4;19.48;585.33;73.63;5.48;15.29;0.4995;499.5132319
159*4.5;159;4.5;21.84;652.27;82.05;5.47;17.15;0.4995;499.5132319
219*5;219;5;33.62;1925.34;175.83;7.57;26.39;0.6880;688.0087911
219*6;219;6;40.15;2278.74;208.1;7.54;31.52;0.6880;688.0087911